id,name_ch,country_id
"1","上海","1"
"2","北京","1"
"3","天津","1"
"4","河北","1"
"5","山西","1"
"6","内蒙古","1"
"7","辽宁","1"
"8","吉林","1"
"9","黑龙江","1"
"10","山东","1"
"11","江苏","1"
"12","安徽","1"
"13","浙江","1"
"14","福建","1"
"15","江西","1"
"16","河南","1"
"17","湖北","1"
"18","湖南","1"
"19","广东","1"
"20","广西","1"
"21","四川","1"
"22","贵州","1"
"23","云南","1"
"24","陕西","1"
"25","甘肃","1"
"26","宁夏","1"
"27","青海","1"
"28","西藏","1"
"29","新疆","1"
"30","海南","1"
"31","重庆","1"
"32","其他","1"
"33","不限","1"

"34",Alabama,"2"
"35",Alaska,"2"
"36",Arizona,"2"
"37",Arkansas,"2"
"38",California,"2"
"39",Colorado,"2"
"40",Connecticut,"2"
"41",Delaware,"2"
"42",District of Columbia,"2"
"43",Florida,"2"
"44",Georgia,"2"
"45",Hawaii,"2"
"46",Idaho,"2"
"47",Illinois,"2"
"48",Indiana,"2"
"49",Iowa,"2"
"50",Kansas,"2"
"51",Kentucky,"2"
"52",Louisiana,"2"
"53",Maine,"2"
"54",Maryland,"2"
"55",Massachusetts,"2"
"56",Michigan,"2"
"57",Minnesota,"2"
"58",Mississippi,"2"
"59",Missouri,"2"
"60",Montana,"2"
"61",Nebraska,"2"
"62",Nevada,"2"
"63",New Hampshire,"2"
"64",New Jersey,"2"
"65",New Mexico,"2"
"66",New York,"2"
"67",North Carolina,"2"
"68",North Dakota,"2"
"69",Ohio,"2"
"70",Oklahoma,"2"
"71",Oregon,"2"
"72",Pennsylvania,"2"
"73",Rhode Island,"2"
"74",South Carolina,"2"
"75",South Dakota,"2"
"76",Tennessee,"2"
"77",Texas,"2"
"78",Utah,"2"
"79",Vermont,"2"
"80",Virginia,"2"
"81",Washington,"2"
"82",West Virginia,"2"
"83",Wisconsin,"2"
"84",Wyoming,"2"

